"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"FMC00914590","01","  3.8364"," 154.9714","   2.4","NUKUORO, FM FM","01","99","99","   16.37"," ","P","11","    19.7"," ","S","12","    17.9"," ","S","12","    13.9"," ","S","12","     9.2"," ","S","12","     5.3"," ","S","12","     2.4"," ","S","12","     0.3"," ","S","12","     0.0"," ","S","12","   11.21"," ","P","11","   13.82"," ","P","11","   20.31"," ","P","11","   10.65"," ","P","11","   12.46"," ","P","11","   17.64"," ","P","11","   22.65"," ","P","11","   11.99"," ","P","11","   17.86"," ","P","11"
"FMC00914590","02","  3.8364"," 154.9714","   2.4","NUKUORO, FM FM","02","99","99","   13.30"," ","S","13","    14.1"," ","S","13","    12.9"," ","S","13","    10.0"," ","S","13","     7.7"," ","S","13","     4.4"," ","S","13","     1.8"," ","S","13","     0.2"," ","S","13","     0.2"," ","S","13","    9.73"," ","S","13","   11.61"," ","S","13","   20.04"," ","S","13","    7.89"," ","S","13","   10.09"," ","S","13","   14.36"," ","S","13","   20.18"," ","S","13","    9.94"," ","S","13","   14.97"," ","S","13"
"FMC00914590","03","  3.8364"," 154.9714","   2.4","NUKUORO, FM FM","03","99","99","   16.19"," ","P","11","    19.2"," ","S","12","    17.4"," ","S","12","    13.3"," ","S","12","     9.9"," ","S","12","     5.9"," ","S","12","     1.9"," ","S","12","     0.3"," ","S","12","     0.1"," ","S","12","   13.42"," ","P","11","   15.31"," ","P","11","   18.05"," ","P","11","   12.71"," ","P","11","   15.19"," ","P","11","   15.36"," ","P","11","   18.68"," ","P","11","   14.48"," ","P","11","   16.73"," ","P","11"
"FMC00914590","04","  3.8364"," 154.9714","   2.4","NUKUORO, FM FM","04","99","99","   14.84"," ","P","11","    20.0"," ","S","12","    16.9"," ","S","12","    13.1"," ","S","12","     9.4"," ","S","12","     5.9"," ","S","12","     1.4"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","   10.38"," ","P","11","   14.04"," ","P","11","   16.97"," ","P","11","   10.07"," ","P","11","   13.80"," ","P","11","   16.39"," ","P","11","   17.38"," ","P","11","   11.73"," ","P","11","   16.51"," ","P","11"
"FMC00914590","05","  3.8364"," 154.9714","   2.4","NUKUORO, FM FM","05","99","99","   14.30"," ","P","10","    20.0"," ","S","12","    18.6"," ","S","12","    14.4"," ","S","12","     9.8"," ","S","12","     5.6"," ","S","12","     2.0"," ","S","12","     0.6"," ","S","12","     0.0"," ","S","12","   12.40"," ","P","10","   14.50"," ","P","10","   15.37"," ","P","10","   11.19"," ","P","10","   14.30"," ","P","10","   14.77"," ","P","10","   15.60"," ","P","10","   14.14"," ","P","10","   15.04"," ","P","10"
"FMC00914590","06","  3.8364"," 154.9714","   2.4","NUKUORO, FM FM","06","99","99","   15.25"," ","S","13","    19.8"," ","S","13","    17.3"," ","S","13","    12.5"," ","S","13","     8.7"," ","S","13","     4.8"," ","S","13","     2.5"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","   11.60"," ","S","13","   14.43"," ","S","13","   18.10"," ","S","13","   10.83"," ","S","13","   13.22"," ","S","13","   15.37"," ","S","13","   18.36"," ","S","13","   11.94"," ","S","13","   16.44"," ","S","13"
"FMC00914590","07","  3.8364"," 154.9714","   2.4","NUKUORO, FM FM","07","99","99","   15.55"," ","S","12","    18.8"," ","S","12","    16.3"," ","S","12","    12.6"," ","S","12","     9.0"," ","S","12","     5.4"," ","S","12","     2.4"," ","S","12","     0.3"," ","S","12","     0.0"," ","S","12","   12.97"," ","S","12","   15.39"," ","S","12","   18.72"," ","S","12","   12.79"," ","S","12","   14.24"," ","S","12","   16.32"," ","S","12","   19.51"," ","S","12","   13.35"," ","S","12","   17.40"," ","S","12"
"FMC00914590","08","  3.8364"," 154.9714","   2.4","NUKUORO, FM FM","08","99","99","    9.92"," ","P","11","    16.2"," ","S","12","    14.3"," ","S","12","    10.5"," ","S","12","     7.3"," ","S","12","     3.3"," ","S","12","     0.8"," ","S","12","     0.2"," ","S","12","     0.1"," ","S","12","    7.61"," ","P","11","    8.85"," ","P","11","   13.39"," ","P","11","    6.78"," ","P","11","    8.45"," ","P","11","   11.10"," ","P","11","   13.40"," ","P","11","    8.44"," ","P","11","   12.62"," ","P","11"
"FMC00914590","09","  3.8364"," 154.9714","   2.4","NUKUORO, FM FM","09","99","99","   10.97"," ","S","12","    15.5"," ","S","13","    13.7"," ","S","13","     9.7"," ","S","13","     7.0"," ","S","13","     3.5"," ","S","13","     1.2"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","    6.79"," ","S","12","   11.55"," ","S","12","   13.77"," ","S","12","    6.15"," ","S","12","    9.32"," ","S","12","   12.05"," ","S","12","   15.30"," ","S","12","    7.71"," ","S","12","   12.49"," ","S","12"
"FMC00914590","10","  3.8364"," 154.9714","   2.4","NUKUORO, FM FM","10","99","99","   12.87"," ","S","13","    15.8"," ","S","13","    13.8"," ","S","13","    10.9"," ","S","13","     7.5"," ","S","13","     4.5"," ","S","13","     1.9"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","   10.44"," ","S","13","   10.57"," ","S","13","   14.87"," ","S","13","    9.84"," ","S","13","   10.49"," ","S","13","   11.37"," ","S","13","   14.97"," ","S","13","   10.48"," ","S","13","   13.92"," ","S","13"
"FMC00914590","11","  3.8364"," 154.9714","   2.4","NUKUORO, FM FM","11","99","99","   13.61"," ","P","10","    16.3"," ","P","11","    14.7"," ","P","11","    10.6"," ","P","11","     7.4"," ","P","11","     4.5"," ","P","11","     1.5"," ","P","11","     0.3"," ","P","11","     0.1"," ","P","11","    9.11"," ","P","10","   14.51"," ","P","10","   16.87"," ","P","10","    8.81"," ","P","10","   11.95"," ","P","10","   15.95"," ","P","10","   17.05"," ","P","10","    9.81"," ","P","10","   16.41"," ","P","10"
"FMC00914590","12","  3.8364"," 154.9714","   2.4","NUKUORO, FM FM","12","99","99","   12.20"," ","P","11","    20.0"," ","S","13","    17.1"," ","S","13","    11.3"," ","S","13","     7.4"," ","S","13","     4.0"," ","S","13","     1.2"," ","S","13","     0.5"," ","S","13","     0.0"," ","S","13","    7.37"," ","P","11","   12.56"," ","P","11","   15.72"," ","P","11","    7.37"," ","P","11","    9.37"," ","P","11","   14.21"," ","P","11","   16.31"," ","P","11","    8.04"," ","P","11","   14.82"," ","P","11"
