"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"RQ1PRPC0004","01"," 18.0474"," -66.6514"," 146.6","PONCE 5.0 NNW, PR RQ","01","99","99","    2.43"," ","E"," 5"
"RQ1PRPC0004","02"," 18.0474"," -66.6514"," 146.6","PONCE 5.0 NNW, PR RQ","02","99","99","    1.70"," ","E"," 4"
"RQ1PRPC0004","03"," 18.0474"," -66.6514"," 146.6","PONCE 5.0 NNW, PR RQ","03","99","99","    3.69"," ","E"," 5"
"RQ1PRPC0004","04"," 18.0474"," -66.6514"," 146.6","PONCE 5.0 NNW, PR RQ","04","99","99","    4.28"," ","E"," 5"
"RQ1PRPC0004","05"," 18.0474"," -66.6514"," 146.6","PONCE 5.0 NNW, PR RQ","05","99","99","    5.06"," ","E"," 4"
"RQ1PRPC0004","06"," 18.0474"," -66.6514"," 146.6","PONCE 5.0 NNW, PR RQ","06","99","99","    3.85"," ","E"," 3"
"RQ1PRPC0004","07"," 18.0474"," -66.6514"," 146.6","PONCE 5.0 NNW, PR RQ","07","99","99","    4.25"," ","E"," 5"
"RQ1PRPC0004","08"," 18.0474"," -66.6514"," 146.6","PONCE 5.0 NNW, PR RQ","08","99","99","    6.68"," ","E"," 6"
"RQ1PRPC0004","09"," 18.0474"," -66.6514"," 146.6","PONCE 5.0 NNW, PR RQ","09","99","99","    8.28"," ","E"," 5"
"RQ1PRPC0004","10"," 18.0474"," -66.6514"," 146.6","PONCE 5.0 NNW, PR RQ","10","99","99","    8.96"," ","E"," 6"
"RQ1PRPC0004","11"," 18.0474"," -66.6514"," 146.6","PONCE 5.0 NNW, PR RQ","11","99","99","    6.58"," ","E"," 6"
"RQ1PRPC0004","12"," 18.0474"," -66.6514"," 146.6","PONCE 5.0 NNW, PR RQ","12","99","99","    2.97"," ","E"," 4"
