"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"RQ1PRRN0003","01"," 18.3627"," -67.2497","  64.3","RINCON 1.5 N, PR RQ","01","99","99","    2.90"," ","E"," 5"
"RQ1PRRN0003","02"," 18.3627"," -67.2497","  64.3","RINCON 1.5 N, PR RQ","02","99","99","    2.67"," ","E"," 5"
"RQ1PRRN0003","03"," 18.3627"," -67.2497","  64.3","RINCON 1.5 N, PR RQ","03","99","99","    3.63"," ","E"," 3"
"RQ1PRRN0003","04"," 18.3627"," -67.2497","  64.3","RINCON 1.5 N, PR RQ","04","99","99","    4.98"," ","E"," 4"
"RQ1PRRN0003","05"," 18.3627"," -67.2497","  64.3","RINCON 1.5 N, PR RQ","05","99","99","    8.91"," ","E"," 5"
"RQ1PRRN0003","06"," 18.3627"," -67.2497","  64.3","RINCON 1.5 N, PR RQ","06","99","99","    6.36"," ","E"," 4"
"RQ1PRRN0003","07"," 18.3627"," -67.2497","  64.3","RINCON 1.5 N, PR RQ","07","99","99","    8.23"," ","E"," 4"
"RQ1PRRN0003","08"," 18.3627"," -67.2497","  64.3","RINCON 1.5 N, PR RQ","08","99","99","    9.79"," ","E"," 2"
"RQ1PRRN0003","09"," 18.3627"," -67.2497","  64.3","RINCON 1.5 N, PR RQ","09","99","99","    7.57"," ","E"," 6"
"RQ1PRRN0003","10"," 18.3627"," -67.2497","  64.3","RINCON 1.5 N, PR RQ","10","99","99","    6.66"," ","E"," 5"
"RQ1PRRN0003","11"," 18.3627"," -67.2497","  64.3","RINCON 1.5 N, PR RQ","11","99","99","    5.83"," ","E"," 5"
"RQ1PRRN0003","12"," 18.3627"," -67.2497","  64.3","RINCON 1.5 N, PR RQ","12","99","99","    3.33"," ","E"," 4"
