"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"RQC00664867","01"," 18.0717"," -66.1428"," 719.3","JAJOME ALTO, PR RQ","01","99","99","    5.35"," ","S","14","    21.6"," ","S","14","    12.1"," ","S","14","     6.4"," ","S","14","     2.6"," ","S","14","     0.9"," ","S","14","     0.4"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    2.40"," ","S","14","    5.56"," ","S","14","    7.09"," ","S","14","    2.29"," ","S","14","    4.30"," ","S","14","    6.56"," ","S","14","    7.38"," ","S","14","    3.01"," ","S","14","    6.95"," ","S","14"
"RQC00664867","02"," 18.0717"," -66.1428"," 719.3","JAJOME ALTO, PR RQ","02","99","99","    3.28"," ","S","14","    16.9"," ","S","15","     9.1"," ","S","15","     4.4"," ","S","15","     2.0"," ","S","15","     0.5"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.50"," ","S","14","    2.92"," ","S","14","    4.06"," ","S","14","    2.39"," ","S","14","    2.65"," ","S","14","    3.60"," ","S","14","    4.21"," ","S","14","    2.57"," ","S","14","    3.94"," ","S","14"
"RQC00664867","03"," 18.0717"," -66.1428"," 719.3","JAJOME ALTO, PR RQ","03","99","99","    4.22"," ","S","15","    17.3"," ","S","15","    10.1"," ","S","15","     5.3"," ","S","15","     2.1"," ","S","15","     0.8"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    2.22"," ","S","15","    3.65"," ","S","15","    5.13"," ","S","15","    1.81"," ","S","15","    3.35"," ","S","15","    4.39"," ","S","15","    6.22"," ","S","15","    2.93"," ","S","15","    4.43"," ","S","15"
"RQC00664867","04"," 18.0717"," -66.1428"," 719.3","JAJOME ALTO, PR RQ","04","99","99","    5.31"," ","S","14","    17.9"," ","S","14","    10.6"," ","S","14","     5.8"," ","S","14","     3.1"," ","S","14","     1.3"," ","S","14","     0.4"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    4.53"," ","S","14","    5.11"," ","S","14","    6.20"," ","S","14","    4.39"," ","S","14","    4.85"," ","S","14","    5.22"," ","S","14","    6.52"," ","S","14","    4.75"," ","S","14","    5.54"," ","S","14"
"RQC00664867","05"," 18.0717"," -66.1428"," 719.3","JAJOME ALTO, PR RQ","05","99","99","    6.14"," ","S","15","    17.9"," ","S","15","    11.1"," ","S","15","     6.9"," ","S","15","     3.7"," ","S","15","     1.6"," ","S","15","     0.4"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","    3.07"," ","S","15","    5.20"," ","S","15","    7.50"," ","S","15","    2.70"," ","S","15","    4.32"," ","S","15","    6.26"," ","S","15","    9.13"," ","S","15","    3.45"," ","S","15","    6.65"," ","S","15"
"RQC00664867","06"," 18.0717"," -66.1428"," 719.3","JAJOME ALTO, PR RQ","06","99","99","    5.67"," ","S","15","    16.5"," ","S","15","    10.9"," ","S","15","     6.0"," ","S","15","     3.5"," ","S","15","     1.1"," ","S","15","     0.4"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","    2.77"," ","S","15","    5.06"," ","S","15","    9.28"," ","S","15","    2.33"," ","S","15","    3.15"," ","S","15","    5.42"," ","S","15","   10.91"," ","S","15","    3.02"," ","S","15","    6.33"," ","S","15"
"RQC00664867","07"," 18.0717"," -66.1428"," 719.3","JAJOME ALTO, PR RQ","07","99","99","    7.80"," ","S","15","    18.9"," ","S","15","    12.7"," ","S","15","     7.4"," ","S","15","     4.0"," ","S","15","     2.2"," ","S","15","     0.8"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","    4.91"," ","S","15","    6.87"," ","S","15","   10.30"," ","S","15","    4.16"," ","S","15","    6.59"," ","S","15","    8.03"," ","S","15","   11.49"," ","S","15","    6.07"," ","S","15","    8.54"," ","S","15"
"RQC00664867","08"," 18.0717"," -66.1428"," 719.3","JAJOME ALTO, PR RQ","08","99","99","   10.50"," ","S","14","    19.9"," ","S","14","    12.0"," ","S","14","     8.0"," ","S","14","     4.6"," ","S","14","     2.5"," ","S","14","     1.6"," ","S","14","     0.4"," ","S","14","     0.1"," ","S","14","    7.48"," ","S","14","    8.57"," ","S","14","   12.63"," ","S","14","    6.95"," ","S","14","    8.34"," ","S","14","    9.97"," ","S","14","   13.73"," ","S","14","    7.99"," ","S","14","   10.94"," ","S","14"
"RQC00664867","09"," 18.0717"," -66.1428"," 719.3","JAJOME ALTO, PR RQ","09","99","99","    8.93"," ","S","15","    18.1"," ","S","15","    11.5"," ","S","15","     7.5"," ","S","15","     4.4"," ","S","15","     2.3"," ","S","15","     0.9"," ","S","15","     0.3"," ","S","15","     0.1"," ","S","15","    4.41"," ","S","15","    5.98"," ","S","15","    9.75"," ","S","15","    4.02"," ","S","15","    5.36"," ","S","15","    7.71"," ","S","15","   10.61"," ","S","15","    4.87"," ","S","15","    9.62"," ","S","15"
"RQC00664867","10"," 18.0717"," -66.1428"," 719.3","JAJOME ALTO, PR RQ","10","99","99","   11.12"," ","S","15","    20.7"," ","S","15","    14.4"," ","S","15","     9.1"," ","S","15","     5.2"," ","S","15","     2.9"," ","S","15","     1.4"," ","S","15","     0.5"," ","S","15","     0.2"," ","S","15","    5.61"," ","S","15","    9.51"," ","S","15","   13.42"," ","S","15","    5.19"," ","S","15","    6.91"," ","S","15","   10.03"," ","S","15","   16.25"," ","S","15","    6.10"," ","S","15","   11.25"," ","S","15"
