"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"RQC00666725","01"," 18.3169"," -65.8664"," 466.0","PALMA SOLA, PR RQ","01","99","99","    6.20"," ","E","10"
"RQC00666725","02"," 18.3169"," -65.8664"," 466.0","PALMA SOLA, PR RQ","02","99","99","    4.32"," ","E","10"
"RQC00666725","03"," 18.3169"," -65.8664"," 466.0","PALMA SOLA, PR RQ","03","99","99","    6.65"," ","E","10"
"RQC00666725","04"," 18.3169"," -65.8664"," 466.0","PALMA SOLA, PR RQ","04","99","99","    6.34"," ","E","10"
"RQC00666725","05"," 18.3169"," -65.8664"," 466.0","PALMA SOLA, PR RQ","05","99","99","    8.37"," ","E","10"
"RQC00666725","06"," 18.3169"," -65.8664"," 466.0","PALMA SOLA, PR RQ","06","99","99","    6.05"," ","E","10"
"RQC00666725","07"," 18.3169"," -65.8664"," 466.0","PALMA SOLA, PR RQ","07","99","99","    9.01"," ","E"," 9"
"RQC00666725","08"," 18.3169"," -65.8664"," 466.0","PALMA SOLA, PR RQ","08","99","99","    9.79"," ","E"," 9"
"RQC00666725","09"," 18.3169"," -65.8664"," 466.0","PALMA SOLA, PR RQ","09","99","99","    9.11"," ","E","10"
"RQC00666725","10"," 18.3169"," -65.8664"," 466.0","PALMA SOLA, PR RQ","10","99","99","    8.36"," ","E","10"
"RQC00666725","11"," 18.3169"," -65.8664"," 466.0","PALMA SOLA, PR RQ","11","99","99","    9.38"," ","E","10"
"RQC00666725","12"," 18.3169"," -65.8664"," 466.0","PALMA SOLA, PR RQ","12","99","99","    8.55"," ","E","10"
