"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"RQW00011630","01"," 18.2550"," -65.6408","  10.1","ROOSEVELT ROADS, PR RQ","01","99","99","    3.19"," ","E"," 5"
"RQW00011630","02"," 18.2550"," -65.6408","  10.1","ROOSEVELT ROADS, PR RQ","02","99","99","    2.10"," ","E"," 3"
"RQW00011630","03"," 18.2550"," -65.6408","  10.1","ROOSEVELT ROADS, PR RQ","03","99","99","    2.03"," ","E"," 6"
"RQW00011630","04"," 18.2550"," -65.6408","  10.1","ROOSEVELT ROADS, PR RQ","04","99","99","    4.25"," ","E"," 8"
"RQW00011630","05"," 18.2550"," -65.6408","  10.1","ROOSEVELT ROADS, PR RQ","05","99","99","    5.19"," ","E"," 7"
"RQW00011630","06"," 18.2550"," -65.6408","  10.1","ROOSEVELT ROADS, PR RQ","06","99","99","    5.18"," ","E"," 6"
"RQW00011630","07"," 18.2550"," -65.6408","  10.1","ROOSEVELT ROADS, PR RQ","07","99","99","    5.70"," ","E"," 5"
"RQW00011630","08"," 18.2550"," -65.6408","  10.1","ROOSEVELT ROADS, PR RQ","08","99","99","    6.48"," ","E"," 5"
"RQW00011630","09"," 18.2550"," -65.6408","  10.1","ROOSEVELT ROADS, PR RQ","09","99","99","    7.49"," ","E"," 8"
"RQW00011630","10"," 18.2550"," -65.6408","  10.1","ROOSEVELT ROADS, PR RQ","10","99","99","    6.36"," ","E"," 9"
"RQW00011630","11"," 18.2550"," -65.6408","  10.1","ROOSEVELT ROADS, PR RQ","11","99","99","    5.71"," ","E"," 7"
"RQW00011630","12"," 18.2550"," -65.6408","  10.1","ROOSEVELT ROADS, PR RQ","12","99","99","    4.72"," ","E"," 7"
