"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-TAVG-NORMAL","meas_flag_MLY-TAVG-NORMAL","comp_flag_MLY-TAVG-NORMAL","years_MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","meas_flag_MLY-TMAX-NORMAL","comp_flag_MLY-TMAX-NORMAL","years_MLY-TMAX-NORMAL","MLY-TMIN-NORMAL","meas_flag_MLY-TMIN-NORMAL","comp_flag_MLY-TMIN-NORMAL","years_MLY-TMIN-NORMAL","MLY-DUTR-NORMAL","meas_flag_MLY-DUTR-NORMAL","comp_flag_MLY-DUTR-NORMAL","years_MLY-DUTR-NORMAL","MLY-TMIN-AVGNDS-LSTH000","meas_flag_MLY-TMIN-AVGNDS-LSTH000","comp_flag_MLY-TMIN-AVGNDS-LSTH000","years_MLY-TMIN-AVGNDS-LSTH000","MLY-TMIN-AVGNDS-LSTH010","meas_flag_MLY-TMIN-AVGNDS-LSTH010","comp_flag_MLY-TMIN-AVGNDS-LSTH010","years_MLY-TMIN-AVGNDS-LSTH010","MLY-TMIN-AVGNDS-LSTH020","meas_flag_MLY-TMIN-AVGNDS-LSTH020","comp_flag_MLY-TMIN-AVGNDS-LSTH020","years_MLY-TMIN-AVGNDS-LSTH020","MLY-TMIN-AVGNDS-LSTH032","meas_flag_MLY-TMIN-AVGNDS-LSTH032","comp_flag_MLY-TMIN-AVGNDS-LSTH032","years_MLY-TMIN-AVGNDS-LSTH032","MLY-TMIN-AVGNDS-LSTH040","meas_flag_MLY-TMIN-AVGNDS-LSTH040","comp_flag_MLY-TMIN-AVGNDS-LSTH040","years_MLY-TMIN-AVGNDS-LSTH040","MLY-TMIN-AVGNDS-LSTH050","meas_flag_MLY-TMIN-AVGNDS-LSTH050","comp_flag_MLY-TMIN-AVGNDS-LSTH050","years_MLY-TMIN-AVGNDS-LSTH050","MLY-TMIN-AVGNDS-LSTH060","meas_flag_MLY-TMIN-AVGNDS-LSTH060","comp_flag_MLY-TMIN-AVGNDS-LSTH060","years_MLY-TMIN-AVGNDS-LSTH060","MLY-TMIN-AVGNDS-LSTH070","meas_flag_MLY-TMIN-AVGNDS-LSTH070","comp_flag_MLY-TMIN-AVGNDS-LSTH070","years_MLY-TMIN-AVGNDS-LSTH070","MLY-TMAX-AVGNDS-GRTH032","meas_flag_MLY-TMAX-AVGNDS-GRTH032","comp_flag_MLY-TMAX-AVGNDS-GRTH032","years_MLY-TMAX-AVGNDS-GRTH032","MLY-TMAX-AVGNDS-GRTH040","meas_flag_MLY-TMAX-AVGNDS-GRTH040","comp_flag_MLY-TMAX-AVGNDS-GRTH040","years_MLY-TMAX-AVGNDS-GRTH040","MLY-TMAX-AVGNDS-GRTH050","meas_flag_MLY-TMAX-AVGNDS-GRTH050","comp_flag_MLY-TMAX-AVGNDS-GRTH050","years_MLY-TMAX-AVGNDS-GRTH050","MLY-TMAX-AVGNDS-GRTH060","meas_flag_MLY-TMAX-AVGNDS-GRTH060","comp_flag_MLY-TMAX-AVGNDS-GRTH060","years_MLY-TMAX-AVGNDS-GRTH060","MLY-TMAX-AVGNDS-GRTH070","meas_flag_MLY-TMAX-AVGNDS-GRTH070","comp_flag_MLY-TMAX-AVGNDS-GRTH070","years_MLY-TMAX-AVGNDS-GRTH070","MLY-TMAX-AVGNDS-GRTH080","meas_flag_MLY-TMAX-AVGNDS-GRTH080","comp_flag_MLY-TMAX-AVGNDS-GRTH080","years_MLY-TMAX-AVGNDS-GRTH080","MLY-TMAX-AVGNDS-GRTH090","meas_flag_MLY-TMAX-AVGNDS-GRTH090","comp_flag_MLY-TMAX-AVGNDS-GRTH090","years_MLY-TMAX-AVGNDS-GRTH090","MLY-TMAX-AVGNDS-GRTH100","meas_flag_MLY-TMAX-AVGNDS-GRTH100","comp_flag_MLY-TMAX-AVGNDS-GRTH100","years_MLY-TMAX-AVGNDS-GRTH100","MLY-TMAX-AVGNDS-LSTH032","meas_flag_MLY-TMAX-AVGNDS-LSTH032","comp_flag_MLY-TMAX-AVGNDS-LSTH032","years_MLY-TMAX-AVGNDS-LSTH032","MLY-HTDD-NORMAL","meas_flag_MLY-HTDD-NORMAL","comp_flag_MLY-HTDD-NORMAL","years_MLY-HTDD-NORMAL","MLY-HTDD-BASE40","meas_flag_MLY-HTDD-BASE40","comp_flag_MLY-HTDD-BASE40","years_MLY-HTDD-BASE40","MLY-HTDD-BASE45","meas_flag_MLY-HTDD-BASE45","comp_flag_MLY-HTDD-BASE45","years_MLY-HTDD-BASE45","MLY-HTDD-BASE50","meas_flag_MLY-HTDD-BASE50","comp_flag_MLY-HTDD-BASE50","years_MLY-HTDD-BASE50","MLY-HTDD-BASE55","meas_flag_MLY-HTDD-BASE55","comp_flag_MLY-HTDD-BASE55","years_MLY-HTDD-BASE55","MLY-HTDD-BASE57","meas_flag_MLY-HTDD-BASE57","comp_flag_MLY-HTDD-BASE57","years_MLY-HTDD-BASE57","MLY-HTDD-BASE60","meas_flag_MLY-HTDD-BASE60","comp_flag_MLY-HTDD-BASE60","years_MLY-HTDD-BASE60","MLY-CLDD-NORMAL","meas_flag_MLY-CLDD-NORMAL","comp_flag_MLY-CLDD-NORMAL","years_MLY-CLDD-NORMAL","MLY-CLDD-BASE40","meas_flag_MLY-CLDD-BASE40","comp_flag_MLY-CLDD-BASE40","years_MLY-CLDD-BASE40","MLY-CLDD-BASE45","meas_flag_MLY-CLDD-BASE45","comp_flag_MLY-CLDD-BASE45","years_MLY-CLDD-BASE45","MLY-CLDD-BASE50","meas_flag_MLY-CLDD-BASE50","comp_flag_MLY-CLDD-BASE50","years_MLY-CLDD-BASE50","MLY-CLDD-BASE55","meas_flag_MLY-CLDD-BASE55","comp_flag_MLY-CLDD-BASE55","years_MLY-CLDD-BASE55","MLY-CLDD-BASE57","meas_flag_MLY-CLDD-BASE57","comp_flag_MLY-CLDD-BASE57","years_MLY-CLDD-BASE57","MLY-CLDD-BASE60","meas_flag_MLY-CLDD-BASE60","comp_flag_MLY-CLDD-BASE60","years_MLY-CLDD-BASE60","MLY-CLDD-BASE70","meas_flag_MLY-CLDD-BASE70","comp_flag_MLY-CLDD-BASE70","years_MLY-CLDD-BASE70","MLY-CLDD-BASE72","meas_flag_MLY-CLDD-BASE72","comp_flag_MLY-CLDD-BASE72","years_MLY-CLDD-BASE72","MLY-GRDD-BASE65","meas_flag_MLY-GRDD-BASE65","comp_flag_MLY-GRDD-BASE65","years_MLY-GRDD-BASE65","MLY-GRDD-BASE40","meas_flag_MLY-GRDD-BASE40","comp_flag_MLY-GRDD-BASE40","years_MLY-GRDD-BASE40","MLY-GRDD-BASE45","meas_flag_MLY-GRDD-BASE45","comp_flag_MLY-GRDD-BASE45","years_MLY-GRDD-BASE45","MLY-GRDD-BASE50","meas_flag_MLY-GRDD-BASE50","comp_flag_MLY-GRDD-BASE50","years_MLY-GRDD-BASE50","MLY-GRDD-BASE55","meas_flag_MLY-GRDD-BASE55","comp_flag_MLY-GRDD-BASE55","years_MLY-GRDD-BASE55","MLY-GRDD-BASE57","meas_flag_MLY-GRDD-BASE57","comp_flag_MLY-GRDD-BASE57","years_MLY-GRDD-BASE57","MLY-GRDD-BASE60","meas_flag_MLY-GRDD-BASE60","comp_flag_MLY-GRDD-BASE60","years_MLY-GRDD-BASE60","MLY-GRDD-BASE70","meas_flag_MLY-GRDD-BASE70","comp_flag_MLY-GRDD-BASE70","years_MLY-GRDD-BASE70","MLY-GRDD-BASE72","meas_flag_MLY-GRDD-BASE72","comp_flag_MLY-GRDD-BASE72","years_MLY-GRDD-BASE72","MLY-GRDD-TB4886","meas_flag_MLY-GRDD-TB4886","comp_flag_MLY-GRDD-TB4886","years_MLY-GRDD-TB4886","MLY-GRDD-TB5086","meas_flag_MLY-GRDD-TB5086","comp_flag_MLY-GRDD-TB5086","years_MLY-GRDD-TB5086","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"USW00023119","01"," 33.9000","-117.2500"," 462.1","MARCH AFB, CA US","01","99","99","    51.7"," ","E"," 9","    66.6"," ","E"," 9","    36.8"," ","E"," 9","    29.8"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     6.6"," ","E"," 9","    21.8"," ","E"," 9","    30.0"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    30.9"," ","E"," 9","    23.6"," ","E"," 9","    12.9"," ","E"," 9","     1.5"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","   412.6"," ","E"," 9","     1.1"," ","E"," 9","     9.7"," ","E"," 9","    41.7"," ","E"," 9","   125.1"," ","E"," 9","   175.4"," ","E"," 9","   260.9"," ","E"," 9","     0.2"," ","E"," 9","   363.7"," ","E"," 9","   217.3"," ","E"," 9","    94.2"," ","E"," 9","    22.7"," ","E"," 9","    10.9"," ","E"," 9","     3.4"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.2"," ","E"," 9","   363.7"," ","E"," 9","   217.3"," ","E"," 9","    94.2"," ","E"," 9","    22.7"," ","E"," 9","    10.9"," ","E"," 9","     3.4"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","   290.0"," ","E"," 9","   257.8"," ","E"," 9","    1.49"," ","E"," 7"
"USW00023119","02"," 33.9000","-117.2500"," 462.1","MARCH AFB, CA US","02","99","99","    52.2"," ","E"," 8","    67.4"," ","E"," 8","    37.0"," ","E"," 8","    30.4"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.1"," ","E"," 8","     6.4"," ","E"," 8","    20.4"," ","E"," 8","    27.3"," ","E"," 8","    28.0"," ","E"," 8","    28.0"," ","E"," 8","    28.0"," ","E"," 8","    28.0"," ","E"," 8","    27.5"," ","E"," 8","    21.2"," ","E"," 8","    13.0"," ","E"," 8","     3.8"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","   358.3"," ","E"," 8","     0.5"," ","E"," 8","    10.6"," ","E"," 8","    43.5"," ","E"," 8","   112.7"," ","E"," 8","   151.3"," ","E"," 8","   221.7"," ","E"," 8","     0.0","X","E"," 8","   342.1"," ","E"," 8","   212.3"," ","E"," 8","   105.2"," ","E"," 8","    34.4"," ","E"," 8","    17.1"," ","E"," 8","     3.4"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0","X","E"," 8","   342.1"," ","E"," 8","   212.3"," ","E"," 8","   105.2"," ","E"," 8","    34.4"," ","E"," 8","    17.1"," ","E"," 8","     3.4"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","   273.4"," ","E"," 8","   245.0"," ","E"," 8","    1.41"," ","E"," 7"
"USW00023119","03"," 33.9000","-117.2500"," 462.1","MARCH AFB, CA US","03","99","99","    56.0"," ","E"," 9","    71.6"," ","E"," 9","    40.4"," ","E"," 9","    31.2"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.8"," ","E"," 9","    13.6"," ","E"," 9","    30.0"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    28.0"," ","E"," 9","    17.7"," ","E"," 9","     6.6"," ","E"," 9","     0.2"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","   280.3"," ","E"," 9","     0.0"," ","E"," 9","     0.5"," ","E"," 9","    12.1"," ","E"," 9","    54.6"," ","E"," 9","    83.0"," ","E"," 9","   141.8"," ","E"," 9","     1.3"," ","E"," 9","   496.0"," ","E"," 9","   341.4"," ","E"," 9","   198.0"," ","E"," 9","    85.6"," ","E"," 9","    51.9"," ","E"," 9","    17.8"," ","E"," 9","     0.0","X","E"," 9","     0.0"," ","E"," 9","     1.3"," ","E"," 9","   496.0"," ","E"," 9","   341.4"," ","E"," 9","   198.0"," ","E"," 9","    85.6"," ","E"," 9","    51.9"," ","E"," 9","    17.8"," ","E"," 9","     0.0","X","E"," 9","     0.0"," ","E"," 9","   367.1"," ","E"," 9","   334.5"," ","E"," 9","    1.17"," ","E"," 7"
"USW00023119","04"," 33.9000","-117.2500"," 462.1","MARCH AFB, CA US","04","99","99","    59.9"," ","E"," 9","    75.1"," ","E"," 9","    44.6"," ","E"," 9","    30.5"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     5.7"," ","E"," 9","    25.5"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    29.0"," ","E"," 9","    22.8"," ","E"," 9","    12.6"," ","E"," 9","     1.9"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","   165.4"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.9"," ","E"," 9","    12.2"," ","E"," 9","    26.1"," ","E"," 9","    62.1"," ","E"," 9","    11.0"," ","E"," 9","   595.5"," ","E"," 9","   445.5"," ","E"," 9","   296.4"," ","E"," 9","   157.8"," ","E"," 9","   111.7"," ","E"," 9","    57.7"," ","E"," 9","     0.5"," ","E"," 9","     0.1"," ","E"," 9","    11.0"," ","E"," 9","   595.5"," ","E"," 9","   445.5"," ","E"," 9","   296.4"," ","E"," 9","   157.8"," ","E"," 9","   111.7"," ","E"," 9","    57.7"," ","E"," 9","     0.5"," ","E"," 9","     0.1"," ","E"," 9","   410.8"," ","E"," 9","   375.2"," ","E"," 9","    0.73"," ","E"," 9"
"USW00023119","05"," 33.9000","-117.2500"," 462.1","MARCH AFB, CA US","05","99","99","    65.4"," ","E"," 9","    80.0"," ","E"," 9","    50.8"," ","E"," 9","    29.2"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.6"," ","E"," 9","    13.9"," ","E"," 9","    30.9"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    30.7"," ","E"," 9","    25.2"," ","E"," 9","    14.7"," ","E"," 9","     5.3"," ","E"," 9","     0.3"," ","E"," 9","     0.0"," ","E"," 9","    63.6"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     1.0"," ","E"," 9","     3.0"," ","E"," 9","    13.4"," ","E"," 9","    76.0"," ","E"," 9","   787.4"," ","E"," 9","   632.4"," ","E"," 9","   477.4"," ","E"," 9","   323.5"," ","E"," 9","   263.5"," ","E"," 9","   180.8"," ","E"," 9","    20.4"," ","E"," 9","    11.0"," ","E"," 9","    76.0"," ","E"," 9","   787.4"," ","E"," 9","   632.4"," ","E"," 9","   477.4"," ","E"," 9","   323.5"," ","E"," 9","   263.5"," ","E"," 9","   180.8"," ","E"," 9","    20.4"," ","E"," 9","    11.0"," ","E"," 9","   524.3"," ","E"," 9","   472.8"," ","E"," 9","    0.28"," ","E"," 9"
"USW00023119","06"," 33.9000","-117.2500"," 462.1","MARCH AFB, CA US","06","99","99","    72.3"," ","E"," 9","    88.5"," ","E"," 9","    56.1"," ","E"," 9","    32.4"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     2.0"," ","E"," 9","    25.6"," ","E"," 9","    29.8"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    30.0"," ","E"," 9","    29.9"," ","E"," 9","    26.6"," ","E"," 9","    13.6"," ","E"," 9","     2.9"," ","E"," 9","     0.0"," ","E"," 9","     3.4"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0","X","E"," 9","     0.2"," ","E"," 9","   222.4"," ","E"," 9","   969.0"," ","E"," 9","   819.0"," ","E"," 9","   669.0"," ","E"," 9","   519.0"," ","E"," 9","   459.0"," ","E"," 9","   369.2"," ","E"," 9","    97.9"," ","E"," 9","    64.5"," ","E"," 9","   222.4"," ","E"," 9","   969.0"," ","E"," 9","   819.0"," ","E"," 9","   669.0"," ","E"," 9","   519.0"," ","E"," 9","   459.0"," ","E"," 9","   369.2"," ","E"," 9","    97.9"," ","E"," 9","    64.5"," ","E"," 9","   664.0"," ","E"," 9","   605.3"," ","E"," 9","    0.01"," ","E"," 8"
"USW00023119","07"," 33.9000","-117.2500"," 462.1","MARCH AFB, CA US","07","99","99","    78.3"," ","E"," 8","    94.3"," ","E"," 8","    62.3"," ","E"," 8","    32.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.1"," ","E"," 8","    13.2"," ","E"," 8","    29.2"," ","E"," 8","    31.0"," ","E"," 8","    31.0"," ","E"," 8","    31.0"," ","E"," 8","    31.0"," ","E"," 8","    31.0"," ","E"," 8","    30.9"," ","E"," 8","    24.7"," ","E"," 8","     5.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","     0.0"," ","E"," 8","   412.1"," ","E"," 8","  1187.3"," ","E"," 8","  1032.2"," ","E"," 8","   877.2"," ","E"," 8","   722.1"," ","E"," 8","   660.1"," ","E"," 8","   567.2"," ","E"," 8","   258.3"," ","E"," 8","   199.2"," ","E"," 8","   412.1"," ","E"," 8","  1187.3"," ","E"," 8","  1032.2"," ","E"," 8","   877.2"," ","E"," 8","   722.1"," ","E"," 8","   660.1"," ","E"," 8","   567.2"," ","E"," 8","   258.3"," ","E"," 8","   199.2"," ","E"," 8","   807.0"," ","E"," 8","   745.0"," ","E"," 8","    0.14"," ","E"," 7"
"USW00023119","08"," 33.9000","-117.2500"," 462.1","MARCH AFB, CA US","08","99","99","    79.2"," ","E"," 9","    96.0"," ","E"," 9","    62.3"," ","E"," 9","    33.7"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","    11.1"," ","E"," 9","    28.2"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    31.0"," ","E"," 9","    25.7"," ","E"," 9","     7.9"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","     0.0"," ","E"," 9","   438.6"," ","E"," 9","  1213.7"," ","E"," 9","  1058.6"," ","E"," 9","   903.6"," ","E"," 9","   748.6"," ","E"," 9","   686.6"," ","E"," 9","   593.6"," ","E"," 9","   284.1"," ","E"," 9","   224.0"," ","E"," 9","   438.6"," ","E"," 9","  1213.7"," ","E"," 9","  1058.6"," ","E"," 9","   903.6"," ","E"," 9","   748.6"," ","E"," 9","   686.6"," ","E"," 9","   593.6"," ","E"," 9","   284.1"," ","E"," 9","   224.0"," ","E"," 9","   809.5"," ","E"," 9","   747.5"," ","E"," 9","    0.37"," ","E"," 9"
"USW00023119","09"," 33.9000","-117.2500"," 462.1","MARCH AFB, CA US","09","99","99","    75.8"," ","E","10","    92.4"," ","E","10","    59.2"," ","E","10","    33.2"," ","E","10","     0.0"," ","E","10","     0.0"," ","E","10","     0.0"," ","E","10","     0.0"," ","E","10","     0.0"," ","E","10","     2.6"," ","E","10","    19.2"," ","E","10","    28.4"," ","E","10","    30.0"," ","E","10","    30.0"," ","E","10","    30.0"," ","E","10","    30.0"," ","E","10","    30.0"," ","E","10","    27.3"," ","E","10","    19.4"," ","E","10","     4.3"," ","E","10","     0.0"," ","E","10","     3.3"," ","E","10","     0.0"," ","E","10","     0.0"," ","E","10","     0.0"," ","E","10","     0.0","X","E","10","     0.1"," ","E","10","     0.6"," ","E","10","   327.0"," ","E","10","  1073.9"," ","E","10","   923.9"," ","E","10","   773.9"," ","E","10","   623.7"," ","E","10","   563.8"," ","E","10","   474.4"," ","E","10","   190.8"," ","E","10","   143.6"," ","E","10","   327.0"," ","E","10","  1073.9"," ","E","10","   923.9"," ","E","10","   773.9"," ","E","10","   623.7"," ","E","10","   563.8"," ","E","10","   474.4"," ","E","10","   190.8"," ","E","10","   143.6"," ","E","10","   720.6"," ","E","10","   661.8"," ","E","10","    0.19"," ","E"," 9"
"USW00023119","10"," 33.9000","-117.2500"," 462.1","MARCH AFB, CA US","10","99","99","    66.0"," ","E","10","    82.3"," ","E","10","    49.6"," ","E","10","    32.7"," ","E","10","     0.0"," ","E","10","     0.0"," ","E","10","     0.0"," ","E","10","     0.0"," ","E","10","     2.0"," ","E","10","    16.0"," ","E","10","    29.9"," ","E","10","    30.9"," ","E","10","    31.0"," ","E","10","    31.0"," ","E","10","    31.0"," ","E","10","    31.0"," ","E","10","    29.1"," ","E","10","    20.6"," ","E","10","     8.0"," ","E","10","     0.9"," ","E","10","     0.0"," ","E","10","    56.3"," ","E","10","     0.0"," ","E","10","     0.0","X","E","10","     0.2"," ","E","10","     1.3"," ","E","10","     4.3"," ","E","10","    13.8"," ","E","10","    85.9"," ","E","10","   804.5"," ","E","10","   649.5"," ","E","10","   494.7"," ","E","10","   340.9"," ","E","10","   281.9"," ","E","10","   198.4"," ","E","10","    27.5"," ","E","10","    16.6"," ","E","10","    85.9"," ","E","10","   804.5"," ","E","10","   649.5"," ","E","10","   494.7"," ","E","10","   340.9"," ","E","10","   281.9"," ","E","10","   198.4"," ","E","10","    27.5"," ","E","10","    16.6"," ","E","10","   552.6"," ","E","10","   506.0"," ","E","10","    0.28"," ","E"," 8"
