"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"VQC00672560","01"," 17.7561"," -64.6494","  36.6","E HILL, VI VQ","01","99","99","    1.73"," ","S","14","    12.3"," ","S","15","     4.9"," ","S","15","     2.1"," ","S","15","     0.7"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.99"," ","S","14","    1.52"," ","S","14","    2.32"," ","S","14","    0.89"," ","S","14","    1.36"," ","S","14","    1.70"," ","S","14","    2.76"," ","S","14","    1.24"," ","S","14","    1.89"," ","S","14"
"VQC00672560","02"," 17.7561"," -64.6494","  36.6","E HILL, VI VQ","02","99","99","    1.04"," ","S","14","     9.2"," ","S","15","     3.6"," ","S","15","     1.3"," ","S","15","     0.2"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    0.79"," ","S","14","    0.97"," ","S","14","    1.22"," ","S","14","    0.75"," ","S","14","    0.84"," ","S","14","    1.01"," ","S","14","    1.29"," ","S","14","    0.81"," ","S","14","    1.10"," ","S","14"
"VQC00672560","03"," 17.7561"," -64.6494","  36.6","E HILL, VI VQ","03","99","99","    2.04"," ","S","13","     9.0"," ","S","15","     4.1"," ","S","15","     2.0"," ","S","15","     1.2"," ","S","15","     0.4"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.16"," ","S","13","    1.60"," ","S","13","    2.71"," ","S","13","    0.97"," ","S","13","    1.37"," ","S","13","    1.73"," ","S","13","    3.39"," ","S","13","    1.32"," ","S","13","    1.84"," ","S","13"
"VQC00672560","04"," 17.7561"," -64.6494","  36.6","E HILL, VI VQ","04","99","99","    2.24"," ","S","12","     9.8"," ","S","13","     5.1"," ","S","13","     2.5"," ","S","13","     1.3"," ","S","13","     0.6"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.17"," ","S","12","    2.03"," ","S","12","    3.10"," ","S","12","    1.06"," ","S","12","    1.49"," ","S","12","    2.41"," ","S","12","    3.34"," ","S","12","    1.34"," ","S","12","    2.92"," ","S","12"
"VQC00672560","05"," 17.7561"," -64.6494","  36.6","E HILL, VI VQ","05","99","99","    4.25"," ","S","12","     9.5"," ","S","14","     5.6"," ","S","14","     3.4"," ","S","14","     2.3"," ","S","14","     1.3"," ","S","14","     0.4"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","    1.49"," ","S","12","    2.39"," ","S","12","    6.52"," ","S","12","    1.35"," ","S","12","    1.68"," ","S","12","    4.89"," ","S","12","    6.86"," ","S","12","    1.63"," ","S","12","    5.93"," ","S","12"
"VQC00672560","06"," 17.7561"," -64.6494","  36.6","E HILL, VI VQ","06","99","99","    2.29"," ","S","14","     8.8"," ","S","14","     5.2"," ","S","14","     2.7"," ","S","14","     1.0"," ","S","14","     0.3"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    1.02"," ","S","14","    1.67"," ","S","14","    2.80"," ","S","14","    0.93"," ","S","14","    1.22"," ","S","14","    2.00"," ","S","14","    3.12"," ","S","14","    1.12"," ","S","14","    2.45"," ","S","14"
"VQC00672560","07"," 17.7561"," -64.6494","  36.6","E HILL, VI VQ","07","99","99","    2.68"," ","S","14","    12.8"," ","S","14","     6.7"," ","S","14","     2.6"," ","S","14","     1.1"," ","S","14","     0.4"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    1.34"," ","S","14","    2.38"," ","S","14","    3.11"," ","S","14","    0.99"," ","S","14","    1.95"," ","S","14","    2.58"," ","S","14","    3.57"," ","S","14","    1.83"," ","S","14","    2.88"," ","S","14"
"VQC00672560","08"," 17.7561"," -64.6494","  36.6","E HILL, VI VQ","08","99","99","    4.05"," ","S","13","    14.2"," ","S","14","     7.7"," ","S","14","     3.5"," ","S","14","     2.0"," ","S","14","     0.8"," ","S","14","     0.4"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","    2.58"," ","S","13","    3.50"," ","S","13","    5.60"," ","S","13","    2.55"," ","S","13","    3.10"," ","S","13","    4.37"," ","S","13","    5.74"," ","S","13","    2.75"," ","S","13","    4.99"," ","S","13"
"VQC00672560","09"," 17.7561"," -64.6494","  36.6","E HILL, VI VQ","09","99","99","    5.22"," ","R","11","    13.1"," ","S","13","     8.3"," ","S","13","     4.6"," ","S","13","     2.7"," ","S","13","     1.5"," ","S","13","     0.4"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","    2.44"," ","R","11","    4.61"," ","R","11","    6.16"," ","R","11","    2.01"," ","R","11","    3.32"," ","R","11","    5.17"," ","R","11","    6.76"," ","R","11","    2.87"," ","R","11","    5.51"," ","R","11"
"VQC00672560","10"," 17.7561"," -64.6494","  36.6","E HILL, VI VQ","10","99","99","    6.61"," ","S","14","    13.8"," ","S","14","     8.9"," ","S","14","     5.2"," ","S","14","     3.1"," ","S","14","     1.3"," ","S","14","     0.6"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","    2.56"," ","S","14","    4.13"," ","S","14","    8.88"," ","S","14","    2.34"," ","S","14","    3.63"," ","S","14","    5.15"," ","S","14","    9.12"," ","S","14","    3.22"," ","S","14","    7.00"," ","S","14"
