"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"VQC00674900","01"," 17.7706"," -64.7553","  61.0","MONTPELLIER, VI VQ","01","99","99","    2.56"," ","E","13"
"VQC00674900","02"," 17.7706"," -64.7553","  61.0","MONTPELLIER, VI VQ","02","99","99","    2.72"," ","E","10"
"VQC00674900","03"," 17.7706"," -64.7553","  61.0","MONTPELLIER, VI VQ","03","99","99","    2.89"," ","E","13"
"VQC00674900","04"," 17.7706"," -64.7553","  61.0","MONTPELLIER, VI VQ","04","99","99","    4.09"," ","E","14"
"VQC00674900","05"," 17.7706"," -64.7553","  61.0","MONTPELLIER, VI VQ","05","99","99","    4.75"," ","E","13"
"VQC00674900","06"," 17.7706"," -64.7553","  61.0","MONTPELLIER, VI VQ","06","99","99","    3.44"," ","E","10"
"VQC00674900","07"," 17.7706"," -64.7553","  61.0","MONTPELLIER, VI VQ","07","99","99","    4.03"," ","E","12"
"VQC00674900","08"," 17.7706"," -64.7553","  61.0","MONTPELLIER, VI VQ","08","99","99","    5.80"," ","E","12"
"VQC00674900","09"," 17.7706"," -64.7553","  61.0","MONTPELLIER, VI VQ","09","99","99","    6.91"," ","E","11"
"VQC00674900","10"," 17.7706"," -64.7553","  61.0","MONTPELLIER, VI VQ","10","99","99","    7.25"," ","E","11"
"VQC00674900","11"," 17.7706"," -64.7553","  61.0","MONTPELLIER, VI VQ","11","99","99","    7.84"," ","E","11"
"VQC00674900","12"," 17.7706"," -64.7553","  61.0","MONTPELLIER, VI VQ","12","99","99","    3.72"," ","E","13"
