"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"CQC00914801","01"," 14.1717"," 145.2428"," 179.2","ROTA AP, MP CQ","01","99","99","    6.56"," ","S","12","    20.4"," ","S","12","    12.3"," ","S","12","     6.4"," ","S","12","     3.8"," ","S","12","     1.6"," ","S","12","     0.4"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    3.05"," ","S","12","    5.21"," ","S","12","    9.20"," ","S","12","    3.00"," ","S","12","    4.51"," ","S","12","    6.20"," ","S","12","   10.19"," ","S","12","    3.60"," ","S","12","    7.45"," ","S","12"
"CQC00914801","02"," 14.1717"," 145.2428"," 179.2","ROTA AP, MP CQ","02","99","99","    4.20"," ","S","12","    16.9"," ","S","12","     8.0"," ","S","12","     4.0"," ","S","12","     1.8"," ","S","12","     0.7"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    2.23"," ","S","12","    3.70"," ","S","12","    5.68"," ","S","12","    2.04"," ","S","12","    3.09"," ","S","12","    4.33"," ","S","12","    6.04"," ","S","12","    2.69"," ","S","12","    5.28"," ","S","12"
"CQC00914801","03"," 14.1717"," 145.2428"," 179.2","ROTA AP, MP CQ","03","99","99","    4.27"," ","S","13","    16.1"," ","S","13","     7.8"," ","S","13","     4.1"," ","S","13","     2.2"," ","S","13","     0.7"," ","S","13","     0.2"," ","S","13","     0.2"," ","S","13","     0.1"," ","S","13","    1.77"," ","S","13","    3.42"," ","S","13","    6.55"," ","S","13","    1.54"," ","S","13","    2.94"," ","S","13","    4.16"," ","S","13","    7.80"," ","S","13","    2.55"," ","S","13","    4.72"," ","S","13"
"CQC00914801","04"," 14.1717"," 145.2428"," 179.2","ROTA AP, MP CQ","04","99","99","    3.29"," ","S","13","    17.1"," ","S","13","     7.6"," ","S","13","     3.6"," ","S","13","     1.6"," ","S","13","     0.8"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.53"," ","S","13","    2.63"," ","S","13","    3.86"," ","S","13","    1.41"," ","S","13","    2.23"," ","S","13","    2.90"," ","S","13","    4.78"," ","S","13","    1.72"," ","S","13","    3.19"," ","S","13"
"CQC00914801","05"," 14.1717"," 145.2428"," 179.2","ROTA AP, MP CQ","05","99","99","    3.79"," ","R","10","    18.5"," ","S","12","     8.4"," ","S","12","     3.7"," ","S","12","     1.8"," ","S","12","     0.9"," ","S","12","     0.3"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    2.18"," ","R","10","    2.98"," ","R","10","    5.55"," ","R","10","    2.09"," ","R","10","    2.61"," ","R","10","    4.37"," ","R","10","    5.69"," ","R","10","    2.46"," ","R","10","    5.37"," ","R","10"
"CQC00914801","06"," 14.1717"," 145.2428"," 179.2","ROTA AP, MP CQ","06","99","99","    4.89"," ","R","11","    20.2"," ","S","12","    11.8"," ","S","12","     5.0"," ","S","12","     2.9"," ","S","12","     1.0"," ","S","12","     0.2"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    2.82"," ","R","11","    4.48"," ","R","11","    6.23"," ","R","11","    2.36"," ","R","11","    4.10"," ","R","11","    4.82"," ","R","11","    6.48"," ","R","11","    3.51"," ","R","11","    5.50"," ","R","11"
"CQC00914801","07"," 14.1717"," 145.2428"," 179.2","ROTA AP, MP CQ","07","99","99","    9.21"," ","S","12","    26.5"," ","S","12","    18.4"," ","S","12","    10.6"," ","S","12","     5.7"," ","S","12","     2.2"," ","S","12","     0.7"," ","S","12","     0.1"," ","S","12","     0.0"," ","S","12","    6.45"," ","S","12","   10.20"," ","S","12","   10.67"," ","S","12","    6.22"," ","S","12","    8.01"," ","S","12","   10.33"," ","S","12","   10.78"," ","S","12","    7.46"," ","S","12","   10.46"," ","S","12"
"CQC00914801","08"," 14.1717"," 145.2428"," 179.2","ROTA AP, MP CQ","08","99","99","   13.23"," ","S","14","    24.0"," ","S","14","    17.3"," ","S","14","    12.4"," ","S","14","     7.6"," ","S","14","     4.5"," ","S","14","     1.7"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","    9.16"," ","S","14","   13.09"," ","S","14","   17.50"," ","S","14","    9.11"," ","S","14","   10.31"," ","S","14","   15.02"," ","S","14","   17.67"," ","S","14","    9.61"," ","S","14","   17.20"," ","S","14"
"CQC00914801","09"," 14.1717"," 145.2428"," 179.2","ROTA AP, MP CQ","09","99","99","   15.86"," ","S","14","    26.2"," ","S","14","    18.9"," ","S","14","    14.1"," ","S","14","     8.3"," ","S","14","     4.7"," ","S","14","     1.8"," ","S","14","     0.2"," ","S","14","     0.0"," ","S","14","   13.86"," ","S","14","   15.00"," ","S","14","   18.42"," ","S","14","   13.55"," ","S","14","   14.85"," ","S","14","   16.35"," ","S","14","   19.00"," ","S","14","   14.51"," ","S","14","   17.41"," ","S","14"
"CQC00914801","10"," 14.1717"," 145.2428"," 179.2","ROTA AP, MP CQ","10","99","99","   15.66"," ","S","13","    26.7"," ","S","14","    19.4"," ","S","14","    13.7"," ","S","14","     8.3"," ","S","14","     4.2"," ","S","14","     1.6"," ","S","14","     0.4"," ","S","14","     0.1"," ","S","14","   12.07"," ","S","13","   14.90"," ","S","13","   19.05"," ","S","13","    9.97"," ","S","13","   14.50"," ","S","13","   15.73"," ","S","13","   21.23"," ","S","13","   14.29"," ","S","13","   16.53"," ","S","13"
"CQC00914801","11"," 14.1717"," 145.2428"," 179.2","ROTA AP, MP CQ","11","99","99","    6.38"," ","R","10","    23.7"," ","P","11","    14.1"," ","P","11","     7.4"," ","P","11","     4.2"," ","P","11","     1.4"," ","P","11","     0.3"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    4.72"," ","R","10","    5.46"," ","R","10","    6.47"," ","R","10","    4.63"," ","R","10","    5.33"," ","R","10","    5.78"," ","R","10","    7.02"," ","R","10","    5.06"," ","R","10","    6.02"," ","R","10"
"CQC00914801","12"," 14.1717"," 145.2428"," 179.2","ROTA AP, MP CQ","12","99","99","    4.75"," ","S","12","    19.3"," ","S","12","    10.0"," ","S","12","     5.3"," ","S","12","     2.4"," ","S","12","     1.1"," ","S","12","     0.2"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    3.17"," ","S","12","    4.83"," ","S","12","    6.19"," ","S","12","    3.13"," ","S","12","    3.43"," ","S","12","    5.21"," ","S","12","    6.53"," ","S","12","    3.34"," ","S","12","    5.72"," ","S","12"
