"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"FMC00914429","01","  9.4833"," 138.0833","  10.1","LUWEECH, FM FM","01","99","99","    7.08"," ","S","14","    21.9"," ","S","14","    12.6"," ","S","14","     8.4"," ","S","14","     4.5"," ","S","14","     1.5"," ","S","14","     0.3"," ","S","14","     0.1"," ","S","14","     0.1"," ","S","14","    5.36"," ","S","14","    7.24"," ","S","14","    9.20"," ","S","14","    4.66"," ","S","14","    6.13"," ","S","14","    7.37"," ","S","14","   10.06"," ","S","14","    5.77"," ","S","14","    7.94"," ","S","14"
"FMC00914429","02","  9.4833"," 138.0833","  10.1","LUWEECH, FM FM","02","99","99","    5.41"," ","S","13","    18.5"," ","S","13","    11.3"," ","S","13","     5.5"," ","S","13","     2.6"," ","S","13","     1.1"," ","S","13","     0.6"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","    2.94"," ","S","13","    4.04"," ","S","13","    5.37"," ","S","13","    2.74"," ","S","13","    3.68"," ","S","13","    4.23"," ","S","13","    5.70"," ","S","13","    3.32"," ","S","13","    4.69"," ","S","13"
"FMC00914429","03","  9.4833"," 138.0833","  10.1","LUWEECH, FM FM","03","99","99","    5.59"," ","S","12","    17.5"," ","S","14","     8.6"," ","S","14","     5.6"," ","S","14","     3.4"," ","S","14","     1.4"," ","S","14","     0.5"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    4.29"," ","S","12","    5.50"," ","S","12","    6.39"," ","S","12","    4.01"," ","S","12","    4.90"," ","S","12","    6.00"," ","S","12","    6.71"," ","S","12","    4.37"," ","S","12","    6.15"," ","S","12"
"FMC00914429","04","  9.4833"," 138.0833","  10.1","LUWEECH, FM FM","04","99","99","    4.96"," ","S","14","    19.2"," ","S","14","    11.2"," ","S","14","     6.9"," ","S","14","     3.5"," ","S","14","     0.8"," ","S","14","     0.2"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    2.36"," ","S","14","    4.57"," ","S","14","    6.95"," ","S","14","    1.98"," ","S","14","    3.87"," ","S","14","    6.37"," ","S","14","    7.19"," ","S","14","    3.26"," ","S","14","    6.78"," ","S","14"
"FMC00914429","05","  9.4833"," 138.0833","  10.1","LUWEECH, FM FM","05","99","99","    8.24"," ","S","12","    22.4"," ","S","12","    14.4"," ","S","12","     9.1"," ","S","12","     5.5"," ","S","12","     2.2"," ","S","12","     0.2"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    4.91"," ","S","12","    7.89"," ","S","12","   10.48"," ","S","12","    4.27"," ","S","12","    7.18"," ","S","12","    8.43"," ","S","12","   11.00"," ","S","12","    6.51"," ","S","12","    9.46"," ","S","12"
"FMC00914429","06","  9.4833"," 138.0833","  10.1","LUWEECH, FM FM","06","99","99","   10.70"," ","R","11","    25.1"," ","P","11","    18.1"," ","P","11","    12.2"," ","P","11","     6.5"," ","P","11","     2.0"," ","P","11","     1.0"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","    7.14"," ","R","11","   10.76"," ","R","11","   14.44"," ","R","11","    6.73"," ","R","11","   10.28"," ","R","11","   11.52"," ","R","11","   15.57"," ","R","11","    9.17"," ","R","11","   12.24"," ","R","11"
"FMC00914429","07","  9.4833"," 138.0833","  10.1","LUWEECH, FM FM","07","99","99","   13.11"," ","R","11","    26.1"," ","P","11","    19.5"," ","P","11","    13.7"," ","P","11","     9.4"," ","P","11","     3.7"," ","P","11","     1.6"," ","P","11","     0.3"," ","P","11","     0.0"," ","P","11","   10.67"," ","R","11","   13.23"," ","R","11","   15.79"," ","R","11","    9.62"," ","R","11","   12.66"," ","R","11","   13.50"," ","R","11","   16.61"," ","R","11","   12.18"," ","R","11","   14.14"," ","R","11"
"FMC00914429","08","  9.4833"," 138.0833","  10.1","LUWEECH, FM FM","08","99","99","   13.12"," ","S","14","    24.6"," ","S","14","    17.4"," ","S","14","    13.2"," ","S","14","     9.1"," ","S","14","     4.4"," ","S","14","     0.9"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    9.54"," ","S","14","   12.08"," ","S","14","   17.29"," ","S","14","    9.23"," ","S","14","   11.66"," ","S","14","   14.28"," ","S","14","   18.13"," ","S","14","   10.91"," ","S","14","   16.26"," ","S","14"
"FMC00914429","09","  9.4833"," 138.0833","  10.1","LUWEECH, FM FM","09","99","99","   14.63"," ","S","14","    24.6"," ","S","14","    19.1"," ","S","14","    14.4"," ","S","14","     9.1"," ","S","14","     4.4"," ","S","14","     1.4"," ","S","14","     0.3"," ","S","14","     0.1"," ","S","14","   11.70"," ","S","14","   14.74"," ","S","14","   18.29"," ","S","14","   10.88"," ","S","14","   13.20"," ","S","14","   16.36"," ","S","14","   18.97"," ","S","14","   11.95"," ","S","14","   17.01"," ","S","14"
"FMC00914429","10","  9.4833"," 138.0833","  10.1","LUWEECH, FM FM","10","99","99","   13.02"," ","S","13","    23.2"," ","S","13","    16.5"," ","S","13","    12.1"," ","S","13","     8.3"," ","S","13","     3.5"," ","S","13","     1.1"," ","S","13","     0.3"," ","S","13","     0.1"," ","S","13","    8.58"," ","S","13","   11.85"," ","S","13","   16.70"," ","S","13","    7.41"," ","S","13","   10.85"," ","S","13","   13.93"," ","S","13","   17.04"," ","S","13","    9.87"," ","S","13","   16.17"," ","S","13"
