"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"GQC00914727","01"," 13.3522"," 144.7669","   3.0","PIRATES COVE, GU GQ","01","99","99","    4.97"," ","S","12","    23.0"," ","S","12","    10.3"," ","S","12","     5.4"," ","S","12","     2.8"," ","S","12","     1.0"," ","S","12","     0.4"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    3.35"," ","S","12","    5.07"," ","S","12","    5.44"," ","S","12","    2.72"," ","S","12","    4.13"," ","S","12","    5.18"," ","S","12","    5.80"," ","S","12","    3.90"," ","S","12","    5.25"," ","S","12"
"GQC00914727","02"," 13.3522"," 144.7669","   3.0","PIRATES COVE, GU GQ","02","99","99","    2.91"," ","S","12","    18.7"," ","S","13","     6.9"," ","S","13","     3.6"," ","S","13","     1.5"," ","S","13","     0.2"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.76"," ","S","12","    2.77"," ","S","12","    3.99"," ","S","12","    1.39"," ","S","12","    2.48"," ","S","12","    3.27"," ","S","12","    4.13"," ","S","12","    2.22"," ","S","12","    3.53"," ","S","12"
"GQC00914727","03"," 13.3522"," 144.7669","   3.0","PIRATES COVE, GU GQ","03","99","99","    2.48"," ","S","12","    18.7"," ","S","12","     7.2"," ","S","12","     3.3"," ","S","12","     1.0"," ","S","12","     0.2"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","     0.0"," ","S","12","    1.76"," ","S","12","    2.20"," ","S","12","    2.90"," ","S","12","    1.66"," ","S","12","    2.08"," ","S","12","    2.69"," ","S","12","    2.99"," ","S","12","    1.99"," ","S","12","    2.78"," ","S","12"
"GQC00914727","04"," 13.3522"," 144.7669","   3.0","PIRATES COVE, GU GQ","04","99","99","    3.08"," ","S","13","    19.5"," ","S","13","     7.3"," ","S","13","     3.1"," ","S","13","     1.3"," ","S","13","     0.5"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    1.30"," ","S","13","    2.45"," ","S","13","    4.06"," ","S","13","    1.10"," ","S","13","    2.00"," ","S","13","    3.22"," ","S","13","    4.71"," ","S","13","    1.45"," ","S","13","    3.97"," ","S","13"
"GQC00914727","05"," 13.3522"," 144.7669","   3.0","PIRATES COVE, GU GQ","05","99","99","    3.08"," ","R","10","    18.1"," ","P","11","     7.4"," ","P","11","     3.2"," ","P","11","     1.2"," ","P","11","     0.4"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    2.19"," ","R","10","    2.85"," ","R","10","    4.16"," ","R","10","    2.04"," ","R","10","    2.40"," ","R","10","    3.70"," ","R","10","    4.33"," ","R","10","    2.26"," ","R","10","    4.03"," ","R","10"
"GQC00914727","06"," 13.3522"," 144.7669","   3.0","PIRATES COVE, GU GQ","06","99","99","    4.06"," ","R","11","    22.0"," ","P","11","     9.6"," ","P","11","     4.9"," ","P","11","     1.9"," ","P","11","     0.5"," ","P","11","     0.1"," ","P","11","     0.0"," ","P","11","     0.0"," ","P","11","    3.94"," ","R","11","    4.26"," ","R","11","    4.68"," ","R","11","    3.51"," ","R","11","    4.11"," ","R","11","    4.40"," ","R","11","    4.81"," ","R","11","    4.01"," ","R","11","    4.57"," ","R","11"
"GQC00914727","07"," 13.3522"," 144.7669","   3.0","PIRATES COVE, GU GQ","07","99","99","    9.14"," ","R","11","    26.9"," ","P","11","    16.3"," ","P","11","     9.9"," ","P","11","     6.2"," ","P","11","     2.5"," ","P","11","     0.9"," ","P","11","     0.2"," ","P","11","     0.0"," ","P","11","    4.64"," ","R","11","    7.37"," ","R","11","   11.64"," ","R","11","    4.41"," ","R","11","    5.81"," ","R","11","    9.88"," ","R","11","   13.58"," ","R","11","    5.09"," ","R","11","   10.05"," ","R","11"
"GQC00914727","08"," 13.3522"," 144.7669","   3.0","PIRATES COVE, GU GQ","08","99","99","   15.13"," ","S","14","    27.6"," ","S","14","    18.9"," ","S","14","    13.6"," ","S","14","     9.1"," ","S","14","     4.6"," ","S","14","     1.8"," ","S","14","     0.1"," ","S","14","     0.1"," ","S","14","   12.05"," ","S","14","   14.70"," ","S","14","   19.41"," ","S","14","   10.88"," ","S","14","   13.47"," ","S","14","   16.57"," ","S","14","   20.37"," ","S","14","   13.11"," ","S","14","   17.28"," ","S","14"
"GQC00914727","09"," 13.3522"," 144.7669","   3.0","PIRATES COVE, GU GQ","09","99","99","   15.79"," ","S","14","    28.1"," ","S","14","    19.4"," ","S","14","    14.4"," ","S","14","     9.7"," ","S","14","     4.9"," ","S","14","     1.1"," ","S","14","     0.5"," ","S","14","     0.2"," ","S","14","   10.93"," ","S","14","   14.95"," ","S","14","   17.13"," ","S","14","   10.41"," ","S","14","   13.68"," ","S","14","   15.81"," ","S","14","   18.12"," ","S","14","   12.01"," ","S","14","   16.86"," ","S","14"
"GQC00914727","10"," 13.3522"," 144.7669","   3.0","PIRATES COVE, GU GQ","10","99","99","   14.00"," ","S","14","    27.6"," ","S","14","    18.1"," ","S","14","    13.1"," ","S","14","     8.4"," ","S","14","     4.6"," ","S","14","     1.6"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","   11.14"," ","S","14","   13.49"," ","S","14","   18.16"," ","S","14","   10.67"," ","S","14","   11.88"," ","S","14","   14.67"," ","S","14","   18.49"," ","S","14","   11.44"," ","S","14","   16.72"," ","S","14"
