"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"RQ1PRJN0001","01"," 18.2228"," -65.9161","  80.5","JUNCOS 0.3 WSW, PR RQ","01","99","99","    3.23"," ","E"," 4"
"RQ1PRJN0001","02"," 18.2228"," -65.9161","  80.5","JUNCOS 0.3 WSW, PR RQ","02","99","99","    2.13"," ","E"," 3"
"RQ1PRJN0001","03"," 18.2228"," -65.9161","  80.5","JUNCOS 0.3 WSW, PR RQ","03","99","99","    3.30"," ","E"," 4"
"RQ1PRJN0001","04"," 18.2228"," -65.9161","  80.5","JUNCOS 0.3 WSW, PR RQ","04","99","99","    5.78"," ","E"," 4"
"RQ1PRJN0001","05"," 18.2228"," -65.9161","  80.5","JUNCOS 0.3 WSW, PR RQ","05","99","99","    7.29"," ","E"," 2"
"RQ1PRJN0001","06"," 18.2228"," -65.9161","  80.5","JUNCOS 0.3 WSW, PR RQ","06","99","99","    5.36"," ","E"," 4"
"RQ1PRJN0001","07"," 18.2228"," -65.9161","  80.5","JUNCOS 0.3 WSW, PR RQ","07","99","99","    8.59"," ","E"," 5"
"RQ1PRJN0001","08"," 18.2228"," -65.9161","  80.5","JUNCOS 0.3 WSW, PR RQ","08","99","99","    7.44"," ","E"," 5"
"RQ1PRJN0001","09"," 18.2228"," -65.9161","  80.5","JUNCOS 0.3 WSW, PR RQ","09","99","99","    9.36"," ","E"," 5"
"RQ1PRJN0001","10"," 18.2228"," -65.9161","  80.5","JUNCOS 0.3 WSW, PR RQ","10","99","99","    8.82"," ","E"," 4"
"RQ1PRJN0001","11"," 18.2228"," -65.9161","  80.5","JUNCOS 0.3 WSW, PR RQ","11","99","99","    7.80"," ","E"," 5"
"RQ1PRJN0001","12"," 18.2228"," -65.9161","  80.5","JUNCOS 0.3 WSW, PR RQ","12","99","99","    4.87"," ","E"," 4"
