"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"RQ1PRMY0005","01"," 18.2170"," -67.1167"," 117.0","MAYAGUEZ ARRIBA, PR RQ","01","99","99","    2.54"," ","E"," 5"
"RQ1PRMY0005","02"," 18.2170"," -67.1167"," 117.0","MAYAGUEZ ARRIBA, PR RQ","02","99","99","    3.30"," ","E"," 6"
"RQ1PRMY0005","03"," 18.2170"," -67.1167"," 117.0","MAYAGUEZ ARRIBA, PR RQ","03","99","99","    4.11"," ","E"," 6"
"RQ1PRMY0005","04"," 18.2170"," -67.1167"," 117.0","MAYAGUEZ ARRIBA, PR RQ","04","99","99","    6.17"," ","E"," 6"
"RQ1PRMY0005","05"," 18.2170"," -67.1167"," 117.0","MAYAGUEZ ARRIBA, PR RQ","05","99","99","    8.27"," ","E"," 6"
"RQ1PRMY0005","06"," 18.2170"," -67.1167"," 117.0","MAYAGUEZ ARRIBA, PR RQ","06","99","99","    8.43"," ","E"," 6"
"RQ1PRMY0005","07"," 18.2170"," -67.1167"," 117.0","MAYAGUEZ ARRIBA, PR RQ","07","99","99","   10.33"," ","E"," 6"
"RQ1PRMY0005","08"," 18.2170"," -67.1167"," 117.0","MAYAGUEZ ARRIBA, PR RQ","08","99","99","   10.82"," ","E"," 5"
"RQ1PRMY0005","09"," 18.2170"," -67.1167"," 117.0","MAYAGUEZ ARRIBA, PR RQ","09","99","99","    8.91"," ","E"," 6"
"RQ1PRMY0005","10"," 18.2170"," -67.1167"," 117.0","MAYAGUEZ ARRIBA, PR RQ","10","99","99","    7.84"," ","E"," 6"
"RQ1PRMY0005","11"," 18.2170"," -67.1167"," 117.0","MAYAGUEZ ARRIBA, PR RQ","11","99","99","    6.17"," ","E"," 6"
"RQ1PRMY0005","12"," 18.2170"," -67.1167"," 117.0","MAYAGUEZ ARRIBA, PR RQ","12","99","99","    3.75"," ","E"," 6"
