"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"RQC00665020","01"," 18.0514"," -66.4986","  79.9","JUANA DIAZ CAMP, PR RQ","01","99","99","    2.39"," ","E"," 5"
"RQC00665020","02"," 18.0514"," -66.4986","  79.9","JUANA DIAZ CAMP, PR RQ","02","99","99","    1.35"," ","E"," 6"
"RQC00665020","03"," 18.0514"," -66.4986","  79.9","JUANA DIAZ CAMP, PR RQ","03","99","99","    3.44"," ","E"," 5"
"RQC00665020","04"," 18.0514"," -66.4986","  79.9","JUANA DIAZ CAMP, PR RQ","04","99","99","    3.35"," ","E"," 7"
"RQC00665020","05"," 18.0514"," -66.4986","  79.9","JUANA DIAZ CAMP, PR RQ","05","99","99","    4.61"," ","E"," 7"
"RQC00665020","06"," 18.0514"," -66.4986","  79.9","JUANA DIAZ CAMP, PR RQ","06","99","99","    4.02"," ","E"," 7"
"RQC00665020","07"," 18.0514"," -66.4986","  79.9","JUANA DIAZ CAMP, PR RQ","07","99","99","    4.93"," ","E"," 7"
"RQC00665020","08"," 18.0514"," -66.4986","  79.9","JUANA DIAZ CAMP, PR RQ","08","99","99","    6.51"," ","E"," 5"
"RQC00665020","09"," 18.0514"," -66.4986","  79.9","JUANA DIAZ CAMP, PR RQ","09","99","99","    8.24"," ","E"," 6"
"RQC00665020","10"," 18.0514"," -66.4986","  79.9","JUANA DIAZ CAMP, PR RQ","10","99","99","    8.07"," ","E"," 4"
"RQC00665020","11"," 18.0514"," -66.4986","  79.9","JUANA DIAZ CAMP, PR RQ","11","99","99","    6.43"," ","E"," 5"
"RQC00665020","12"," 18.0514"," -66.4986","  79.9","JUANA DIAZ CAMP, PR RQ","12","99","99","    2.31"," ","E"," 5"
