"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"RQC00666805","01"," 18.2650"," -65.7208"," 109.7","PARAISO, PR RQ","01","99","99","    6.12"," ","S","13","    18.1"," ","S","13","    14.8"," ","S","13","     7.5"," ","S","13","     2.6"," ","S","13","     1.4"," ","S","13","     0.2"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    4.60"," ","S","13","    5.78"," ","S","13","    7.41"," ","S","13","    4.56"," ","S","13","    5.08"," ","S","13","    6.12"," ","S","13","    7.79"," ","S","13","    4.91"," ","S","13","    6.58"," ","S","13"
"RQC00666805","02"," 18.2650"," -65.7208"," 109.7","PARAISO, PR RQ","02","99","99","    4.87"," ","S","13","    14.6"," ","S","13","    12.0"," ","S","13","     6.1"," ","S","13","     2.3"," ","S","13","     1.1"," ","S","13","     0.1"," ","S","13","     0.0"," ","S","13","     0.0"," ","S","13","    2.50"," ","S","13","    4.47"," ","S","13","    5.90"," ","S","13","    2.48"," ","S","13","    4.28"," ","S","13","    4.94"," ","S","13","    6.02"," ","S","13","    3.63"," ","S","13","    5.51"," ","S","13"
"RQC00666805","03"," 18.2650"," -65.7208"," 109.7","PARAISO, PR RQ","03","99","99","    7.16"," ","S","14","    15.4"," ","S","14","    12.3"," ","S","14","     8.0"," ","S","14","     4.3"," ","S","14","     1.7"," ","S","14","     0.7"," ","S","14","     0.1"," ","S","14","     0.1"," ","S","14","    3.40"," ","S","14","    7.04"," ","S","14","    8.44"," ","S","14","    3.31"," ","S","14","    6.31"," ","S","14","    7.52"," ","S","14","    8.79"," ","S","14","    5.18"," ","S","14","    7.93"," ","S","14"
"RQC00666805","04"," 18.2650"," -65.7208"," 109.7","PARAISO, PR RQ","04","99","99","    6.91"," ","S","15","    15.8"," ","S","15","    13.3"," ","S","15","     8.2"," ","S","15","     3.5"," ","S","15","     1.3"," ","S","15","     0.4"," ","S","15","     0.3"," ","S","15","     0.0"," ","S","15","    4.39"," ","S","15","    6.39"," ","S","15","    9.15"," ","S","15","    4.30"," ","S","15","    5.97"," ","S","15","    6.61"," ","S","15","    9.58"," ","S","15","    5.34"," ","S","15","    7.43"," ","S","15"
"RQC00666805","05"," 18.2650"," -65.7208"," 109.7","PARAISO, PR RQ","05","99","99","   11.21"," ","S","15","    18.8"," ","S","15","    16.6"," ","S","15","    10.3"," ","S","15","     5.4"," ","S","15","     3.6"," ","S","15","     1.3"," ","S","15","     0.2"," ","S","15","     0.1"," ","S","15","    6.09"," ","S","15","   11.21"," ","S","15","   13.93"," ","S","15","    6.01"," ","S","15","    9.80"," ","S","15","   12.93"," ","S","15","   15.15"," ","S","15","    7.90"," ","S","15","   13.10"," ","S","15"
"RQC00666805","06"," 18.2650"," -65.7208"," 109.7","PARAISO, PR RQ","06","99","99","    7.65"," ","S","15","    15.7"," ","S","15","    14.2"," ","S","15","     8.8"," ","S","15","     4.7"," ","S","15","     1.7"," ","S","15","     0.4"," ","S","15","     0.1"," ","S","15","     0.1"," ","S","15","    4.81"," ","S","15","    5.54"," ","S","15","   10.41"," ","S","15","    4.55"," ","S","15","    4.99"," ","S","15","    8.14"," ","S","15","   10.85"," ","S","15","    4.84"," ","S","15","    9.39"," ","S","15"
"RQC00666805","07"," 18.2650"," -65.7208"," 109.7","PARAISO, PR RQ","07","99","99","    8.96"," ","S","14","    17.8"," ","S","15","    16.3"," ","S","15","    10.7"," ","S","15","     5.5"," ","S","15","     2.7"," ","S","15","     0.7"," ","S","15","     0.1"," ","S","15","     0.0"," ","S","15","    5.57"," ","S","14","    8.87"," ","S","14","    9.91"," ","S","14","    5.29"," ","S","14","    8.50"," ","S","14","    9.06"," ","S","14","   10.83"," ","S","14","    7.43"," ","S","14","    9.43"," ","S","14"
"RQC00666805","08"," 18.2650"," -65.7208"," 109.7","PARAISO, PR RQ","08","99","99","   10.77"," ","S","14","    18.0"," ","S","15","    15.9"," ","S","15","     9.4"," ","S","15","     4.9"," ","S","15","     2.9"," ","S","15","     1.1"," ","S","15","     0.3"," ","S","15","     0.1"," ","S","15","    7.49"," ","S","14","    9.17"," ","S","14","   12.08"," ","S","14","    6.99"," ","S","14","    9.06"," ","S","14","    9.50"," ","S","14","   13.78"," ","S","14","    8.62"," ","S","14","   10.04"," ","S","14"
"RQC00666805","09"," 18.2650"," -65.7208"," 109.7","PARAISO, PR RQ","09","99","99","   11.29"," ","S","15","    18.4"," ","S","15","    16.5"," ","S","15","    10.7"," ","S","15","     6.5"," ","S","15","     3.5"," ","S","15","     1.1"," ","S","15","     0.1"," ","S","15","     0.1"," ","S","15","    7.88"," ","S","15","   10.09"," ","S","15","   13.86"," ","S","15","    7.62"," ","S","15","    8.62"," ","S","15","   10.32"," ","S","15","   15.24"," ","S","15","    8.15"," ","S","15","   11.26"," ","S","15"
"RQC00666805","10"," 18.2650"," -65.7208"," 109.7","PARAISO, PR RQ","10","99","99","   11.80"," ","S","14","    21.1"," ","S","14","    18.9"," ","S","14","    13.4"," ","S","14","     7.2"," ","S","14","     2.9"," ","S","14","     0.8"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","    8.92"," ","S","14","    9.96"," ","S","14","   13.70"," ","S","14","    8.88"," ","S","14","    9.42"," ","S","14","   11.98"," ","S","14","   14.12"," ","S","14","    9.20"," ","S","14","   13.20"," ","S","14"
