"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"VQC00671740","01"," 17.7469"," -64.7014","   9.1","CHRISTIANSTED FT, VI VQ","01","99","99","    2.42"," ","E"," 2"
"VQC00671740","02"," 17.7469"," -64.7014","   9.1","CHRISTIANSTED FT, VI VQ","02","99","99","    1.96"," ","E"," 5"
"VQC00671740","03"," 17.7469"," -64.7014","   9.1","CHRISTIANSTED FT, VI VQ","03","99","99","    3.07"," ","E"," 7"
"VQC00671740","04"," 17.7469"," -64.7014","   9.1","CHRISTIANSTED FT, VI VQ","04","99","99","    3.43"," ","E"," 5"
"VQC00671740","05"," 17.7469"," -64.7014","   9.1","CHRISTIANSTED FT, VI VQ","05","99","99","    5.33"," ","E"," 4"
"VQC00671740","06"," 17.7469"," -64.7014","   9.1","CHRISTIANSTED FT, VI VQ","06","99","99","    3.41"," ","E"," 4"
"VQC00671740","07"," 17.7469"," -64.7014","   9.1","CHRISTIANSTED FT, VI VQ","07","99","99","    4.37"," ","E"," 7"
"VQC00671740","08"," 17.7469"," -64.7014","   9.1","CHRISTIANSTED FT, VI VQ","08","99","99","    6.04"," ","E"," 4"
"VQC00671740","09"," 17.7469"," -64.7014","   9.1","CHRISTIANSTED FT, VI VQ","09","99","99","    6.40"," ","E"," 5"
"VQC00671740","10"," 17.7469"," -64.7014","   9.1","CHRISTIANSTED FT, VI VQ","10","99","99","    6.31"," ","E"," 5"
"VQC00671740","11"," 17.7469"," -64.7014","   9.1","CHRISTIANSTED FT, VI VQ","11","99","99","    6.77"," ","E"," 7"
"VQC00671740","12"," 17.7469"," -64.7014","   9.1","CHRISTIANSTED FT, VI VQ","12","99","99","    3.41"," ","E"," 5"
