"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL","MLY-PRCP-AVGNDS-GE001HI","meas_flag_MLY-PRCP-AVGNDS-GE001HI","comp_flag_MLY-PRCP-AVGNDS-GE001HI","years_MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","meas_flag_MLY-PRCP-AVGNDS-GE010HI","comp_flag_MLY-PRCP-AVGNDS-GE010HI","years_MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE025HI","meas_flag_MLY-PRCP-AVGNDS-GE025HI","comp_flag_MLY-PRCP-AVGNDS-GE025HI","years_MLY-PRCP-AVGNDS-GE025HI","MLY-PRCP-AVGNDS-GE050HI","meas_flag_MLY-PRCP-AVGNDS-GE050HI","comp_flag_MLY-PRCP-AVGNDS-GE050HI","years_MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","meas_flag_MLY-PRCP-AVGNDS-GE100HI","comp_flag_MLY-PRCP-AVGNDS-GE100HI","years_MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-AVGNDS-GE200HI","meas_flag_MLY-PRCP-AVGNDS-GE200HI","comp_flag_MLY-PRCP-AVGNDS-GE200HI","years_MLY-PRCP-AVGNDS-GE200HI","MLY-PRCP-AVGNDS-GE400HI","meas_flag_MLY-PRCP-AVGNDS-GE400HI","comp_flag_MLY-PRCP-AVGNDS-GE400HI","years_MLY-PRCP-AVGNDS-GE400HI","MLY-PRCP-AVGNDS-GE600HI","meas_flag_MLY-PRCP-AVGNDS-GE600HI","comp_flag_MLY-PRCP-AVGNDS-GE600HI","years_MLY-PRCP-AVGNDS-GE600HI","MLY-PRCP-25PCTL","meas_flag_MLY-PRCP-25PCTL","comp_flag_MLY-PRCP-25PCTL","years_MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","meas_flag_MLY-PRCP-50PCTL","comp_flag_MLY-PRCP-50PCTL","years_MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","meas_flag_MLY-PRCP-75PCTL","comp_flag_MLY-PRCP-75PCTL","years_MLY-PRCP-75PCTL","MLY-PRCP-20PCTL","meas_flag_MLY-PRCP-20PCTL","comp_flag_MLY-PRCP-20PCTL","years_MLY-PRCP-20PCTL","MLY-PRCP-40PCTL","meas_flag_MLY-PRCP-40PCTL","comp_flag_MLY-PRCP-40PCTL","years_MLY-PRCP-40PCTL","MLY-PRCP-60PCTL","meas_flag_MLY-PRCP-60PCTL","comp_flag_MLY-PRCP-60PCTL","years_MLY-PRCP-60PCTL","MLY-PRCP-80PCTL","meas_flag_MLY-PRCP-80PCTL","comp_flag_MLY-PRCP-80PCTL","years_MLY-PRCP-80PCTL","MLY-PRCP-33PCTL","meas_flag_MLY-PRCP-33PCTL","comp_flag_MLY-PRCP-33PCTL","years_MLY-PRCP-33PCTL","MLY-PRCP-67PCTL","meas_flag_MLY-PRCP-67PCTL","comp_flag_MLY-PRCP-67PCTL","years_MLY-PRCP-67PCTL"
"VQC00672551","01"," 18.3347"," -64.6758","  32.0","E END, VI VQ","01","99","99","    2.47"," ","S","14","    16.7"," ","S","15","     6.4"," ","S","15","     2.7"," ","S","15","     1.6"," ","S","15","     0.4"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.58"," ","S","14","    1.94"," ","S","14","    3.31"," ","S","14","    1.50"," ","S","14","    1.68"," ","S","14","    2.34"," ","S","14","    3.58"," ","S","14","    1.63"," ","S","14","    2.65"," ","S","14"
"VQC00672551","02"," 18.3347"," -64.6758","  32.0","E END, VI VQ","02","99","99","    1.71"," ","S","15","    13.5"," ","S","15","     5.1"," ","S","15","     2.3"," ","S","15","     0.7"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","     0.0"," ","S","15","    1.08"," ","S","15","    1.65"," ","S","15","    2.29"," ","S","15","    0.99"," ","S","15","    1.24"," ","S","15","    1.75"," ","S","15","    2.59"," ","S","15","    1.17"," ","S","15","    1.88"," ","S","15"
"VQC00672551","03"," 18.3347"," -64.6758","  32.0","E END, VI VQ","03","99","99","    1.43"," ","S","14","    12.0"," ","S","14","     4.5"," ","S","14","     1.9"," ","S","14","     0.4"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    0.83"," ","S","14","    1.50"," ","S","14","    1.78"," ","S","14","    0.68"," ","S","14","    1.29"," ","S","14","    1.70"," ","S","14","    1.90"," ","S","14","    1.05"," ","S","14","    1.71"," ","S","14"
"VQC00672551","04"," 18.3347"," -64.6758","  32.0","E END, VI VQ","04","99","99","    2.29"," ","S","14","    10.8"," ","S","14","     4.2"," ","S","14","     2.0"," ","S","14","     1.2"," ","S","14","     0.4"," ","S","14","     0.1"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","    0.98"," ","S","14","    1.50"," ","S","14","    2.62"," ","S","14","    0.92"," ","S","14","    1.30"," ","S","14","    1.88"," ","S","14","    2.97"," ","S","14","    1.19"," ","S","14","    2.07"," ","S","14"
"VQC00672551","05"," 18.3347"," -64.6758","  32.0","E END, VI VQ","05","99","99","    4.25"," ","S","12","    13.4"," ","S","12","     6.4"," ","S","12","     3.8"," ","S","12","     2.5"," ","S","12","     1.1"," ","S","12","     0.3"," ","S","12","     0.2"," ","S","12","     0.1"," ","S","12","    2.41"," ","S","12","    4.44"," ","S","12","    6.16"," ","S","12","    1.82"," ","S","12","    3.14"," ","S","12","    4.67"," ","S","12","    6.48"," ","S","12","    2.96"," ","S","12","    5.31"," ","S","12"
"VQC00672551","06"," 18.3347"," -64.6758","  32.0","E END, VI VQ","06","99","99","    2.62"," ","S","13","    13.6"," ","S","14","     6.3"," ","S","14","     3.2"," ","S","14","     1.2"," ","S","14","     0.2"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","     0.0"," ","S","14","    1.43"," ","S","13","    1.77"," ","S","13","    2.64"," ","S","13","    1.29"," ","S","13","    1.64"," ","S","13","    2.09"," ","S","13","    3.14"," ","S","13","    1.53"," ","S","13","    2.24"," ","S","13"
"VQC00672551","07"," 18.3347"," -64.6758","  32.0","E END, VI VQ","07","99","99","    4.47"," ","S","13","    17.1"," ","S","14","     8.3"," ","S","14","     4.8"," ","S","14","     2.2"," ","S","14","     1.1"," ","S","14","     0.3"," ","S","14","     0.1"," ","S","14","     0.0"," ","S","14","    1.68"," ","S","13","    3.72"," ","S","13","    5.78"," ","S","13","    1.61"," ","S","13","    3.04"," ","S","13","    4.25"," ","S","13","    6.84"," ","S","13","    1.94"," ","S","13","    4.54"," ","S","13"
"VQC00672551","08"," 18.3347"," -64.6758","  32.0","E END, VI VQ","08","99","99","    5.48"," ","S","13","    16.8"," ","S","13","     8.9"," ","S","13","     4.2"," ","S","13","     2.3"," ","S","13","     1.2"," ","S","13","     0.4"," ","S","13","     0.2"," ","S","13","     0.2"," ","S","13","    3.40"," ","S","13","    4.36"," ","S","13","    7.75"," ","S","13","    3.23"," ","S","13","    4.30"," ","S","13","    5.77"," ","S","13","    8.09"," ","S","13","    4.04"," ","S","13","    6.40"," ","S","13"
"VQC00672551","09"," 18.3347"," -64.6758","  32.0","E END, VI VQ","09","99","99","    4.84"," ","R","11","    15.4"," ","P","11","     7.9"," ","P","11","     4.0"," ","P","11","     2.4"," ","P","11","     0.9"," ","P","11","     0.5"," ","P","11","     0.3"," ","P","11","     0.1"," ","P","11","    2.08"," ","R","11","    3.53"," ","R","11","    4.48"," ","R","11","    1.94"," ","R","11","    2.74"," ","R","11","    3.93"," ","R","11","    4.68"," ","R","11","    2.33"," ","R","11","    4.16"," ","R","11"
"VQC00672551","10"," 18.3347"," -64.6758","  32.0","E END, VI VQ","10","99","99","    6.31"," ","R","10","    18.3"," ","P","11","    10.3"," ","P","11","     5.6"," ","P","11","     3.2"," ","P","11","     1.7"," ","P","11","     0.9"," ","P","11","     0.1"," ","P","11","     0.1"," ","P","11","    4.03"," ","R","10","    5.07"," ","R","10","    7.03"," ","R","10","    3.82"," ","R","10","    4.55"," ","R","10","    6.05"," ","R","10","    7.84"," ","R","10","    4.29"," ","R","10","    6.80"," ","R","10"
